game_id,total_rounds,player_id,player_name,strategy,won_game,final_score,rounds_played,rounds_won,flip_7_count,bust_count,cards_drawn,avg_round_score,winning_strategy
8423475a-165a-434c-a4f4-6b77eb00abe7,19,324f2482-9d35-477f-adbe-7acc96624f8d,Player_2_Random_50,Random_50,0,99,19,11,0,0,12,5.21,Threshold_25
5e290e68-8b1a-43c7-9e46-f31627c4dc15,7,dd89e215-0f65-4f2c-b17d-5adce0c795df,Player_1_Threshold_30,Threshold_30,0,184,7,5,0,2,28,26.29,Threshold_21
5e290e68-8b1a-43c7-9e46-f31627c4dc15,7,6ed086c3-467d-4f06-834c-5c1870041740,Player_2_Threshold_21,Threshold_21,1,202,7,2,0,0,29,28.86,Threshold_21
6908dbb7-282b-4283-a75e-ca61764e42b9,12,81cd54c9-62fb-4cd0-8218-fdd655fa0cc5,Player_1_Threshold_30,Threshold_30,1,227,12,8,0,4,48,18.92,Threshold_30
6908dbb7-282b-4283-a75e-ca61764e42b9,12,f45e3266-d6f5-4dba-a532-1aa1eeea8ca1,Player_2_Random_50,Random_50,0,54,12,4,0,0,8,4.5,Threshold_30
61e01142-fbc5-413a-8d0b-57f656a5260e,7,71ae01b3-eefa-4d6e-a2cd-f2e3ed760ee0,Player_1_Threshold_25,Threshold_25,1,218,7,7,0,0,26,31.14,Threshold_25
61e01142-fbc5-413a-8d0b-57f656a5260e,7,93f8c2a7-5b2d-45fc-8969-146268fba0f2,Player_2_Random_50,Random_50,0,30,7,0,0,1,6,4.29,Threshold_25
43a86e97-b056-4ba7-b475-2f68b8bd57eb,12,c7985d11-f4cd-4a4f-ac63-2de116583346,Player_1_Threshold_21,Threshold_21,1,228,12,4,0,2,44,19.0,Threshold_21
43a86e97-b056-4ba7-b475-2f68b8bd57eb,12,ceb420af-b845-419a-9519-85943d15a0b5,Player_2_Threshold_25,Threshold_25,0,226,12,7,0,4,46,18.83,Threshold_21
e1efc13d-473c-46c8-a8b5-d4dc650a4c4d,11,3af1f7a8-83a9-477b-bb9b-aec7a787daa3,Player_1_Threshold_25,Threshold_25,1,216,11,5,0,3,39,19.64,Threshold_25
e1efc13d-473c-46c8-a8b5-d4dc650a4c4d,11,b611acdc-1c4f-430b-b3b0-546d64a22346,Player_2_Threshold_30,Threshold_30,0,176,11,5,0,5,46,16.0,Threshold_25
879cc8b0-6348-486a-929d-9c67cd294333,9,ce4cddae-b92c-44b7-8ce6-b8d97f783057,Player_1_Threshold_30,Threshold_30,0,177,9,3,0,3,40,19.67,Threshold_25
879cc8b0-6348-486a-929d-9c67cd294333,9,e7e1d393-f34e-4537-8661-cd98a5aee612,Player_2_Threshold_25,Threshold_25,1,200,9,5,0,3,33,22.22,Threshold_25
a644d901-e73a-4cd8-bb0b-51fcd9404ae4,8,3138414d-1965-411a-b9bf-54096774e180,Player_1_Threshold_30,Threshold_30,0,98,8,3,0,5,33,12.25,Threshold_21
a644d901-e73a-4cd8-bb0b-51fcd9404ae4,8,1387b98b-0ad5-4a1a-a8e7-eb6acd61afd4,Player_2_Threshold_21,Threshold_21,1,206,8,5,0,1,27,25.75,Threshold_21
b839a4af-8096-422d-9232-4b996a2c3a23,9,ab1ad174-fb02-4e77-95ac-79332cea15b0,Player_1_Threshold_21,Threshold_21,1,211,9,8,0,1,32,23.44,Threshold_21
b839a4af-8096-422d-9232-4b996a2c3a23,9,17616853-59f3-4949-bf4a-b38c0e729cfd,Player_2_Random_50,Random_50,0,40,9,1,0,0,6,4.44,Threshold_21
1582714a-9948-45d2-9ee8-c47ed7f2a4ae,15,bd8c0757-946f-4a17-8e18-652c2eeb90b7,Player_1_Threshold_30,Threshold_30,1,232,15,7,0,8,60,15.47,Threshold_30
1582714a-9948-45d2-9ee8-c47ed7f2a4ae,15,6e033bec-8afd-4274-974e-057b639fe369,Player_2_Random_50,Random_50,0,77,15,7,0,1,16,5.13,Threshold_30
8c9e7150-9351-4ca7-8fed-90779366656b,13,6cf37876-357c-4742-bd1a-624d80b3d1e4,Player_1_Random_50,Random_50,0,59,13,6,0,1,9,4.54,Threshold_30
8c9e7150-9351-4ca7-8fed-90779366656b,13,82d71310-4b2f-43f7-89c9-2b74bb804ef2,Player_2_Threshold_30,Threshold_30,1,225,13,7,0,5,52,17.31,Threshold_30
c34059a5-0446-48a3-befc-d35c0f86c9fa,9,a7edecac-9ede-458c-9111-8e8c96307c70,Player_1_Threshold_21,Threshold_21,1,209,9,5,0,1,34,23.22,Threshold_21
c34059a5-0446-48a3-befc-d35c0f86c9fa,9,a1179453-cb03-4315-abae-17b432332663,Player_2_Threshold_25,Threshold_25,0,190,9,4,0,2,30,21.11,Threshold_21
7464916b-3d28-41f1-a0db-a5abfa235b0b,12,3518439e-7fbb-490e-aa08-ab895cb05814,Player_1_Threshold_21,Threshold_21,1,215,12,5,0,3,41,17.92,Threshold_21
7464916b-3d28-41f1-a0db-a5abfa235b0b,12,3a601b6d-f9bc-42a5-89d5-9cf1941cb734,Player_2_Threshold_25,Threshold_25,0,210,12,6,0,3,42,17.5,Threshold_21
e091956b-93a7-4452-ba22-0b7371758330,8,10649327-d87e-463d-9871-ccc3f365ccc3,Player_1_Threshold_30,Threshold_30,0,180,8,5,0,2,32,22.5,Threshold_25
